customerId,amountTotal,salesTotal,annualTotal,monthlyTotalProduct1,monthlyTotalProduct2,extraItemsTotal,monthsSinceStarted,avgDaysToPay,creditedAmount,isCancelled,hasProduct1,hasProduct2,hasProduct3,hasProduct4,hasProduct5,hasProduct6,hasProduct7,hasProduct8,hasProduct9,hasProduct10,hasProduct11,hasProduct12,administrativeArea,subCountryArea,country,firstInvoiceDate
28118,3621.71,236,944,0,2441.71,0,72,65,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,BELFAST AREA,Northern Ireland,United Kingdom,05/07/2010
28113,2863.68,150,780,0,1933.68,0,60,39,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,WESTERN AREA,Northern Ireland,United Kingdom,24/11/2010
28101,14164.84,150,3709,0,10305.84,0,100,39,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,WESTERN AREA,Northern Ireland,United Kingdom,31/03/2010
28099,8642.04,2459,3317,6.84,159.2,2700,90,73,927.1,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,WESTERN AREA,Northern Ireland,United Kingdom,05/01/2011
28094,300,300,0,0,0,0,7,-1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,WESTERN AREA,Northern Ireland,United Kingdom,08/12/2017
28093,2581.12,195,1365,0,1021.12,0,96,59,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,WESTERN AREA,Northern Ireland,United Kingdom,31/05/2010
28092,1785.41,150,1050,0,585.41,0,95,95,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,WESTERN AREA,Northern Ireland,United Kingdom,26/08/2010
28084,230,230,0,0,0,0,8,61,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,WESTERN AREA,Northern Ireland,United Kingdom,30/11/2017
28079,747,249,498,0,0,0,37,331,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,SOMERSET,South West,United Kingdom,30/06/2015
28068,495,495,0,0,0,0,15,53,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,CUMBRIA,North West,United Kingdom,11/10/2017
28066,4328.39,798,1197,288.42,2044.97,0,49,30,84.53,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,PEMBROKESHIRE,Wales,United Kingdom,17/06/2014
28059,1857.6,1070.1,787.5,0,0,0,8,54,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Durham,North East,United Kingdom,10/11/2017
27898,10835.68,300,1500,0,9035.68,0,60,69,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NORTH YORKSHIRE,Yorkshire and the Humber,United Kingdom,08/11/2012
27850,15727.89,695,5560,0,9472.89,0,104,62,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,BRADFORD,North West,United Kingdom,30/11/2009
27843,349,349,0,0,0,0,15,21,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,EAST SUSSEX,South East,United Kingdom,09/02/2015
27836,838.18,136,680,0,22.18,0,71,364,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,BELFAST AREA,Northern Ireland,United Kingdom,04/03/2011
27828,364,364,0,0,0,0,8,58,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,WESTERN AREA,Northern Ireland,United Kingdom,29/11/2017
27825,516.5,0,450,0,66.5,0,38,-10162,180,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,LUTON,East,United Kingdom,31/01/2010
27780,2890.38,370,420,0,890.38,1210,81,56,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NORTH EASTERN AREA,North East,United Kingdom,19/10/2011
27772,6804.75,450,1800,0,4554.75,0,51,26,116.26,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,CARDIFF,Wales,United Kingdom,07/04/2014
27755,11282.45,0,4125,0,7157.45,0,72,73,2,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,HARROW,London,United Kingdom,17/12/2009
27752,1185,0,1185,0,0,0,37,391,474,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,BRISTOL,South West,United Kingdom,14/01/2010
27716,164,164,0,0,0,0,3,-1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,none,none,United Kingdom,19/04/2018
27709,23280.33,1060,2160,0,19010.33,1050,80,55,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NEWHAM,London,United Kingdom,03/11/2011
27684,4461.44,427,1664.8,0,439.64,1930,76,41,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,SOUTH EASTERN AREA,Northern Ireland,United Kingdom,30/03/2012
27666,14.76,0,0,0,14.76,0,4,-1,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,WILTSHIRE,South West,United Kingdom,31/03/2018
27665,364,364,0,0,0,0,5,85,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,WESTERN AREA,Northern Ireland,United Kingdom,13/02/2018
27659,545,545,0,0,0,0,12,-1,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,BARNET,London,United Kingdom,13/07/2017
27612,1664.46,352,272,0,1040.46,0,81,103,0.1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none,none,United Kingdom,18/10/2011
27602,806.93,195,390,0,221.93,0,25,657,234,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,OLDHAM,North West,United Kingdom,21/06/2010
27596,5053.08,250,1750,0,3053.08,0,96,33,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,WORCESTERSHIRE,West Midlands,United Kingdom,07/07/2010
27574,2935.18,675.5,957,0,872.68,430,48,143,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,OXFORDSHIRE,South East,United Kingdom,14/07/2014
27560,416,416,0,0,0,0,10,17,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TOWER HAMLETS,London,United Kingdom,25/09/2017
27515,345.04,0,199,0,146.04,0,9,65,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,CAMDEN,London,United Kingdom,31/10/2017
27512,382.22,300,0,0,82.22,0,12,136,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,CAERPHILLY,Wales,United Kingdom,10/12/2013
27483,495,495,0,0,0,0,14,56,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,BLACKPOOL,North West,United Kingdom,28/02/2018
27457,300,0,300,0,0,0,28,195,360,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,LANCASHIRE,North West,United Kingdom,31/03/2010
27455,1989.65,1815.75,0,0,173.9,0,10,43,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,WILTSHIRE,South West,United Kingdom,27/09/2017
27445,3643.67,0,2850,0,793.67,0,73,54,1140,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,SOUTH EASTERN AREA,Northern Ireland,United Kingdom,26/03/2010
27399,2400.4,161.5,836.5,0,1402.4,0,96,45,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,DERBYSHIRE,East Midlands,United Kingdom,23/07/2010
27396,219,219,0,0,0,0,16,36,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Chester,North West,United Kingdom,07/05/2015
27367,2337.87,579,1099,0,659.87,0,65,161,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,DENBIGHSHIRE,Wales,United Kingdom,07/02/2013
27362,0,0,0,0,0,0,1,-1,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,WESTERN AREA,Northern Ireland,United Kingdom,22/04/2010
27318,11894.02,793.8,2700,0,7700.22,700,60,74,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,SLOUGH,South East,United Kingdom,31/10/2009
27250,6247.28,880,2484,0,2883.28,0,98,81,528,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,SOUTH EASTERN AREA,Northern Ireland,United Kingdom,26/01/2011
